0,3.55621171
100,3.702675343
200,3.714859486
300,3.740614176
400,3.928642988
500,4.567767143
600,5.571144104
700,6.546228409
800,7.376348495
900,8.035715103
1000,8.60353756
1100,9.120678902
1200,9.69927597
1300,10.40855694
1400,11.39395046
1500,12.84324265
1600,14.88671589
1700,17.84135437
1800,21.66083145
1900,26.05947876
2000,28.86074829
2100,29.42733383
2200,29.42509842
2300,29.4435482
2400,29.51322746
2500,29.41648674
2600,29.46483231
2700,29.39505005
2800,29.47979927
2900,29.47360229
3000,29.40685081
